Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Geocoding Match,Matched Address,Coordinate_Display,Google_Maps_Link
3305393,"September 11, 2025",Florida,Tampa,6000 block of Woodville St,1,5,0,0,0,,,,No_Match,,Coordinates not available,
3304563,"September 9, 2025",California,San Francisco,1555 Burke St,0,6,0,0,0,,37.744396900633,-122.386072681753,Match,"1555 BURKE AVE, SAN FRANCISCO, CA, 94124","37.744397, -122.386073","https://www.google.com/maps?q=37.744396900633,-122.386072681753"
3304605,"September 8, 2025",California,Santa Ana,400 S Susan St,1,3,0,0,0,,33.741890880643,-117.913596092036,Match,"400 S SUSAN ST, SANTA ANA, CA, 92704","33.741891, -117.913596","https://www.google.com/maps?q=33.741890880643,-117.913596092036"
3303073,"September 7, 2025",Ohio,Cleveland,1051 W 10th St,0,5,0,1,1,,,,No_Match,,Coordinates not available,
3302748,"September 7, 2025",Texas,Cleveland,2843 County Rd 5018,2,4,0,0,0,,30.199930635724,-95.05924485192,Match,"2843 RD 5018, CLEVELAND, TX, 77327","30.199931, -95.059245","https://www.google.com/maps?q=30.199930635724,-95.05924485192"
3303232,"September 7, 2025",Tennessee,Memphis,4100 block of Rosewind Cir,0,4,0,0,0,,35.034920226526,-89.85590619941,Match,"4100 ROSEWIND CIR, MEMPHIS, TN, 38141","35.034920, -89.855906","https://www.google.com/maps?q=35.034920226526,-89.85590619941"
3302041,"September 6, 2025",Virginia,Portsmouth,Manly St and Dahlia St S,1,3,0,0,0,,,,No_Match,,Coordinates not available,
3300931,"September 3, 2025",Missouri,Kansas City,Harrison St and E Armour Blvd,0,5,0,0,0,,39.063287022427,-94.572901570655,Match,"HARRISON ST & E ARMOUR BLVD, KANSAS CITY, MO, 64109","39.063287, -94.572902","https://www.google.com/maps?q=39.063287022427,-94.572901570655"
3299148,"September 1, 2025",New York,Bronx,686 Allerton Ave,1,4,0,0,5,,40.865361429171,-73.867861298022,Match,"686 ALLERTON AVE, BRONX, NY, 10467","40.865361, -73.867861","https://www.google.com/maps?q=40.865361429171,-73.867861298022"
3298615,"September 1, 2025",Illinois,Chicago,3600 block of S Cottage Grove Ave,0,5,0,0,1,,41.82905727426,-87.609587788461,Match,"3600 S COTTAGE GROVE AVE, CHICAGO, IL, 60653","41.829057, -87.609588","https://www.google.com/maps?q=41.82905727426,-87.609587788461"
3297880,"August 31, 2025",Illinois,Chicago,2700 block of W Haddon Ave,0,4,0,0,0,,41.902077012111,-87.694471083116,Match,"2700 W HADDON AVE, CHICAGO, IL, 60622","41.902077, -87.694471","https://www.google.com/maps?q=41.902077012111,-87.694471083116"
3297889,"August 30, 2025",Illinois,Chicago Heights,400 block of W 14th St,1,4,0,0,1,,41.505954916441,-87.659602785934,Match,"400 W 14TH ST, CHICAGO HEIGHTS, IL, 60411","41.505955, -87.659603","https://www.google.com/maps?q=41.505954916441,-87.659602785934"
3298204,"August 30, 2025",Mississippi,Jackson,5627 Dogwood Trail,2,2,0,0,3,,32.250352753786,-90.296782199883,Match,"5627 DOGWOOD TRL, JACKSON, MS, 39212","32.250353, -90.296782","https://www.google.com/maps?q=32.250352753786,-90.296782199883"
3297867,"August 30, 2025",Illinois,Chicago,3500 block of S State St,0,7,0,0,0,,41.830953195469,-87.626720750491,Match,"3500 S STATE ST, CHICAGO, IL, 60609","41.830953, -87.626721","https://www.google.com/maps?q=41.830953195469,-87.626720750491"
3297573,"August 29, 2025",New York,Syracuse (Geddes),1002 State Fair Blvd,0,4,0,1,1,,43.09986494395,-76.24814643451,Match,"1002 STATE FAIR BLVD, SYRACUSE, NY, 13209","43.099865, -76.248146","https://www.google.com/maps?q=43.09986494395,-76.24814643451"
3297408,"August 29, 2025",Florida,Fort Lauderdale,657 NW 9th St,0,4,0,0,0,,26.134905790926,-80.150500477056,Match,"657 NW 9TH ST, FORT LAUDERDALE, FL, 33311","26.134906, -80.150500","https://www.google.com/maps?q=26.134905790926,-80.150500477056"
3294737,"August 27, 2025",Minnesota,Minneapolis,509 W 54th St,2,21,1,0,0,,44.905037512829,-93.285914588911,Match,"509 W 54TH ST, MINNEAPOLIS, MN, 55419","44.905038, -93.285915","https://www.google.com/maps?q=44.905037512829,-93.285914588911"
3294361,"August 26, 2025",California,Los Angeles,8501 S Figueroa St,0,5,0,0,0,,33.961059860583,-118.282768393163,Match,"8501 S FIGUEROA ST, LOS ANGELES, CA, 90003","33.961060, -118.282768","https://www.google.com/maps?q=33.961059860583,-118.282768393163"
3294369,"August 26, 2025",Minnesota,Minneapolis,E 29th St and Clinton Ave,1,6,0,0,0,,44.950060011129,-93.271559750897,Match,"E 29TH ST & CLINTON AVE S, MINNEAPOLIS, MN, 55408","44.950060, -93.271560","https://www.google.com/maps?q=44.950060011129,-93.271559750897"
3292906,"August 24, 2025",Missouri,Kansas City,E 13th St and Grand Blvd,2,3,0,0,0,,39.098513016937,-94.580974565142,Match,"E 13TH ST & GRAND BLVD, KANSAS CITY, MO, 64106","39.098513, -94.580975","https://www.google.com/maps?q=39.098513016937,-94.580974565142"
3293218,"August 24, 2025",Maryland,Hagerstown,11205 John F Kennedy Dr,0,4,0,0,0,,39.62260831575,-77.676829058686,Match,"11205 JOHN F KENNEDY DR, HAGERSTOWN, MD, 21742","39.622608, -77.676829","https://www.google.com/maps?q=39.62260831575,-77.676829058686"
3292691,"August 23, 2025",New York,Bronx,Burke Ave and Wickham Ave,2,3,0,0,4,,40.87440970617,-73.840035094878,Match,"BURKE AVE & WICKHAM AVE, BRONX, NY, 10469","40.874410, -73.840035","https://www.google.com/maps?q=40.87440970617,-73.840035094878"
3292026,"August 22, 2025",New York,Bronx,1401 Overing St,0,4,0,0,0,,40.839344897359,-73.843719693678,Match,"1401 OVERING ST, BRONX, NY, 10461","40.839345, -73.843720","https://www.google.com/maps?q=40.839344897359,-73.843719693678"
3289583,"August 18, 2025",West Virginia,Mount Carbon,Adena Dr,1,3,1,0,0,,,,No_Match,,Coordinates not available,
3288499,"August 17, 2025",Virginia,Richmond,1700 block of Clarkson Rd,1,3,0,0,0,,37.492238563196,-77.480396892984,Match,"1700 CLARKSON RD, RICHMOND, VA, 23224","37.492239, -77.480397","https://www.google.com/maps?q=37.492238563196,-77.480396892984"
3288282,"August 17, 2025",New York,Brooklyn,903 Franklin Ave,1,11,2,0,0,,40.667920462352,-73.958883422697,Match,"903 FRANKLIN AVE, BROOKLYN, NY, 11225","40.667920, -73.958883","https://www.google.com/maps?q=40.667920462352,-73.958883422697"
3290521,"August 17, 2025",Mississippi,Prentiss,84 Young Rd,1,4,0,0,5,,,,No_Match,,Coordinates not available,
3290307,"August 16, 2025",Washington,Grandview,Apricot Rd and County Line Rd,0,5,0,0,0,,46.236450202495,-119.873334825097,Match,"APRICOT RD & S COUNTY LINE RD, GRANDVIEW, WA, 98930","46.236450, -119.873335","https://www.google.com/maps?q=46.236450202495,-119.873334825097"
3288024,"August 16, 2025",Indiana,Indianapolis,3100 block of Brouse Ave,0,5,0,0,0,,,,No_Match,,Coordinates not available,
3288736,"August 16, 2025",Michigan,Saginaw,S 23rd St and Perkins St,0,5,0,0,0,,43.421805679852,-83.906684718466,Match,"S 23RD ST & PERKINS ST, SAGINAW, MI, 48601","43.421806, -83.906685","https://www.google.com/maps?q=43.421805679852,-83.906684718466"
3288301,"August 16, 2025",Illinois,Chicago,2400 block of W Jackson Blvd,0,4,0,0,0,,41.87759844535,-87.686963184468,Match,"2400 W JACKSON BLVD, CHICAGO, IL, 60612","41.877598, -87.686963","https://www.google.com/maps?q=41.87759844535,-87.686963184468"
3284255,"August 11, 2025",Illinois,Chicago,700 block of E 43rd St,0,5,0,0,0,,41.816830451447,-87.609112384362,Match,"700 E 43RD ST, CHICAGO, IL, 60653","41.816830, -87.609112","https://www.google.com/maps?q=41.816830451447,-87.609112384362"
3283186,"August 10, 2025",Illinois,Chicago,100 block of N La Crosse Ave,1,5,0,0,0,,41.883168008622,-87.746680058624,Match,"100 N LA CROSSE AVE, CHICAGO, IL, 60644","41.883168, -87.746680","https://www.google.com/maps?q=41.883168008622,-87.746680058624"
3283977,"August 10, 2025",Mississippi,Jackson,357 N Mart Plaza,0,8,0,0,0,,32.3512117611,-90.174050908709,Match,"357 N MART PLZ, JACKSON, MS, 39206","32.351212, -90.174051","https://www.google.com/maps?q=32.3512117611,-90.174050908709"
3283199,"August 10, 2025",Illinois,Chicago,4500 block of W Wilcox St,0,4,0,0,0,,41.878777447988,-87.737939170764,Match,"4500 W WILCOX ST, CHICAGO, IL, 60624","41.878777, -87.737939","https://www.google.com/maps?q=41.878777447988,-87.737939170764"
3283060,"August 9, 2025",Maryland,Baltimore,5101 Queensbury Ave,1,5,0,0,0,,39.35003253733,-76.671808453868,Match,"5101 QUEENSBERRY AVE, BALTIMORE, MD, 21215","39.350033, -76.671808","https://www.google.com/maps?q=39.35003253733,-76.671808453868"
3282825,"August 9, 2025",Texas,Midland,610 E Industrial Ave,0,4,0,0,1,,31.998698054611,-102.067300911083,Match,"610 E INDUSTRIAL AVE, MIDLAND, TX, 79701","31.998698, -102.067301","https://www.google.com/maps?q=31.998698054611,-102.067300911083"
3281735,"August 7, 2025",Ohio,Cleveland,1900 block of N Taylor Rd,2,2,0,0,1,,41.537593491907,-81.570779898305,Match,"1900 N TAYLOR RD, CLEVELAND, OH, 44112","41.537593, -81.570780","https://www.google.com/maps?q=41.537593491907,-81.570779898305"
3280275,"August 6, 2025",Georgia,Fort Stewart,594 Vanguard Rd,0,5,0,0,1,,,,No_Match,,Coordinates not available,
3278590,"August 4, 2025",California,Los Angeles,E 14th Pl and Paloma St,2,6,0,0,0,,34.028608146954,-118.249750313712,Match,"E 14TH PL & PALOMA ST, LOS ANGELES, CA, 90021","34.028608, -118.249750","https://www.google.com/maps?q=34.028608146954,-118.249750313712"
3278919,"August 3, 2025",Virginia,Virginia Beach,4900 block of Gulfstream Cir,0,4,0,0,0,,36.81655301411,-76.153590951147,Match,"4900 GULFSTREAM CIR, VIRGINIA BEACH, VA, 23464","36.816553, -76.153591","https://www.google.com/maps?q=36.81655301411,-76.153590951147"
3278049,"August 3, 2025",Iowa,Iowa City,600 block of E Court St,0,4,0,0,2,,41.65664790494,-91.527206404856,Match,"600 E COURT ST, IOWA CITY, IA, 52240","41.656648, -91.527206","https://www.google.com/maps?q=41.65664790494,-91.527206404856"
3278491,"August 2, 2025",Nebraska,Omaha,3501 N 30th St,0,6,0,1,1,,41.290573616774,-95.956479654132,Match,"3501 N 30TH ST, OMAHA, NE, 68111","41.290574, -95.956480","https://www.google.com/maps?q=41.290573616774,-95.956479654132"
3277877,"August 2, 2025",Illinois,Harvey,14400 block of Des Plaines St,0,5,1,1,0,,41.627328415164,-87.639077777528,Match,"14400 DES PLAINES ST, HARVEY, IL, 60426","41.627328, -87.639078","https://www.google.com/maps?q=41.627328415164,-87.639077777528"
3276908,"August 1, 2025",Montana,Anaconda,819 E 3rd St,4,0,0,0,1,,46.126508397094,-112.943095147152,Match,"819 E 3RD ST, ANACONDA, MT, 59711","46.126508, -112.943095","https://www.google.com/maps?q=46.126508397094,-112.943095147152"
3276476,"July 30, 2025",Georgia,Atlanta,2479 Abner Terrace NW,0,4,0,0,0,,33.800970368396,-84.466914956396,Match,"2479 ABNER TER, ATLANTA, GA, 30318","33.800970, -84.466915","https://www.google.com/maps?q=33.800970368396,-84.466914956396"
3275972,"July 30, 2025",Pennsylvania,Philadelphia,728 S 55th St,0,6,0,0,1,,39.949115515002,-75.233303554368,Match,"728 S 55TH ST, PHILADELPHIA, PA, 19143","39.949116, -75.233304","https://www.google.com/maps?q=39.949115515002,-75.233303554368"
3276738,"July 29, 2025",Tennessee,Tiptonville,Carrington Rd,4,0,0,0,1,,,,No_Match,,Coordinates not available,
3273804,"July 28, 2025",Michigan,Detroit,3344 Puritan Ave,2,2,0,0,1,,42.410065111211,-83.134693153753,Match,"3344 PURITAN ST, DETROIT, MI, 48238","42.410065, -83.134693","https://www.google.com/maps?q=42.410065111211,-83.134693153753"
3273521,"July 28, 2025",Nevada,Reno,2500 E 2nd St,3,3,1,0,0,,39.527541410746,-119.778572731829,Match,"2500 E 2ND ST, RENO, NV, 89502","39.527541, -119.778573","https://www.google.com/maps?q=39.527541410746,-119.778572731829"
3273423,"July 28, 2025",Georgia,Atlanta,349 Edgewood Ave,1,10,0,0,1,,,,Tie,,Coordinates not available,
3273958,"July 28, 2025",New York,New York (Manhattan),345 Park Ave,4,2,1,0,0,,,,Tie,,Coordinates not available,
3273415,"July 27, 2025",Illinois,Chicago,W Flournoy St and S Springfield Ave,0,4,0,0,1,,41.872573152516,-87.722949223311,Match,"W FLOURNOY ST & S SPRINGFIELD AVE, CHICAGO, IL, 60624","41.872573, -87.722949","https://www.google.com/maps?q=41.872573152516,-87.722949223311"
3273353,"July 27, 2025",Indiana,Indianapolis,3900 block of Hornickel Dr,0,5,0,0,0,,39.828756924608,-85.960863045092,Match,"3900 HORNICKEL DR, INDIANAPOLIS, IN, 46235","39.828757, -85.960863","https://www.google.com/maps?q=39.828756924608,-85.960863045092"
3273527,"July 27, 2025",Colorado,Denver,20th St and Market St,0,4,0,0,1,,39.753650579289,-104.993418389007,Match,"20TH ST & MARKET ST, DENVER, CO, 80202","39.753651, -104.993418","https://www.google.com/maps?q=39.753650579289,-104.993418389007"
3274001,"July 27, 2025",Michigan,Flint,3241 Industrial Ave,1,4,0,0,0,,43.044960661529,-83.687339423354,Match,"3241 INDUSTRIAL AVE, FLINT, MI, 48505","43.044961, -83.687339","https://www.google.com/maps?q=43.044960661529,-83.687339423354"
3272738,"July 27, 2025",Illinois,Mount Vernon,600 block of S 15th St,2,5,0,0,3,,38.310928726683,-88.908769964219,Match,"600 S 15TH ST, MOUNT VERNON, IL, 62864","38.310929, -88.908770","https://www.google.com/maps?q=38.310928726683,-88.908769964219"
3272694,"July 26, 2025",Pennsylvania,Philadelphia,1900 block of W Hunting Park Ave,2,2,0,0,1,,40.01359801207,-75.158716257566,Match,"1900 W HUNTING PARK AVE, PHILADELPHIA, PA, 19140","40.013598, -75.158716","https://www.google.com/maps?q=40.01359801207,-75.158716257566"
3273390,"July 26, 2025",Mississippi,Yazoo City,Leach St,0,4,0,0,0,,,,No_Match,,Coordinates not available,
3271342,"July 24, 2025",Georgia,Atlanta,279 Oak Dr,1,5,0,0,0,,33.634878987996,-84.397387027522,Match,"279 OAK DR, ATLANTA, GA, 30354","33.634879, -84.397387","https://www.google.com/maps?q=33.634878987996,-84.397387027522"
3271477,"July 24, 2025",Pennsylvania,Philadelphia,2300 block of N Lambert St,0,4,0,0,0,,39.989325672365,-75.166687543615,Match,"2300 N LAMBERT ST, PHILADELPHIA, PA, 19132","39.989326, -75.166688","https://www.google.com/maps?q=39.989325672365,-75.166687543615"
3269743,"July 23, 2025",California,Needles,1900 block of Erin Dr,1,3,0,0,0,,,,No_Match,,Coordinates not available,
3267641,"July 20, 2025",Mississippi,Waynesboro,Turner St and Grey St,0,5,0,0,0,,31.677258165388,-88.652474197438,Match,"TURNER ST & GRAY ST, WAYNESBORO, MS, 39367","31.677258, -88.652474","https://www.google.com/maps?q=31.677258165388,-88.652474197438"
3266723,"July 20, 2025",Illinois,Chicago,4935 W Ferdinand St,0,4,0,0,0,,41.889478503317,-87.748937282554,Match,"4935 W FERDINAND ST, CHICAGO, IL, 60644","41.889479, -87.748937","https://www.google.com/maps?q=41.889478503317,-87.748937282554"
3266713,"July 19, 2025",Tennessee,Cordova,71 Fern Glade Cove,1,4,0,0,0,,35.122326038676,-89.755100954704,Match,"71 FERN GLADE COVE, CORDOVA, TN, 38018","35.122326, -89.755101","https://www.google.com/maps?q=35.122326038676,-89.755100954704"
3266988,"July 19, 2025",Arkansas,Little Rock,1800 Broadway St,0,4,0,0,1,,34.732034439492,-92.278481242592,Match,"1800 BROADWAY ST, LITTLE ROCK, AR, 72206","34.732034, -92.278481","https://www.google.com/maps?q=34.732034439492,-92.278481242592"
3266574,"July 19, 2025",Ohio,Cleveland,16400 block of Highview Ave,1,3,0,0,0,,,,No_Match,,Coordinates not available,
3265909,"July 19, 2025",Illinois,Chicago,8200 block of S Houston Ave,1,3,0,0,0,,41.746433835926,-87.550445170459,Match,"8200 S HOUSTON AVE, CHICAGO, IL, 60617","41.746434, -87.550445","https://www.google.com/maps?q=41.746433835926,-87.550445170459"
3264154,"July 15, 2025",New York,Bronx,E 187th St and Park Ave,0,4,0,0,0,,,,Tie,,Coordinates not available,
3261500,"July 13, 2025",Kentucky,Lexington,5899 Old Richmond Rd,2,3,1,0,0,,37.939402721048,-84.405363527406,Match,"5899 OLD RICHMOND RD, LEXINGTON, KY, 40515","37.939403, -84.405364","https://www.google.com/maps?q=37.939402721048,-84.405363527406"
3262173,"July 13, 2025",Texas,Houston,6502 Dixie Dr,2,15,0,0,0,,29.679472308709,-95.313899798122,Match,"6502 DIXIE DR, HOUSTON, TX, 77087","29.679472, -95.313900","https://www.google.com/maps?q=29.679472308709,-95.313899798122"
3261407,"July 13, 2025",North Carolina,Charlotte,300 N College St,1,5,0,0,3,,35.227835025585,-80.839643637034,Match,"300 N COLLEGE ST, CHARLOTTE, NC, 28202","35.227835, -80.839644","https://www.google.com/maps?q=35.227835025585,-80.839643637034"
3261161,"July 12, 2025",Wisconsin,Milwaukee,618 N Water St,2,3,0,0,1,,43.037617519233,-87.908956363707,Match,"618 N WATER ST, MILWAUKEE, WI, 53202","43.037618, -87.908956","https://www.google.com/maps?q=43.037617519233,-87.908956363707"
3261223,"July 12, 2025",Texas,Round Rock,1401 A W Grimes Blvd,2,2,0,0,0,,30.510641940199,-97.6550653702,Match,"1401 S A W GRIMES BLVD, ROUND ROCK, TX, 78664","30.510642, -97.655065","https://www.google.com/maps?q=30.510641940199,-97.6550653702"
3261477,"July 12, 2025",Pennsylvania,Easton,100 block of Wilkes Barre St,0,6,0,0,2,,,,Tie,,Coordinates not available,
3261096,"July 12, 2025",Tennessee,Chattanooga,6900 Ty Hi Dr,0,4,0,0,0,,35.060155570444,-85.155728354858,Match,"6900 TY HI DR, CHATTANOOGA, TN, 37421","35.060156, -85.155728","https://www.google.com/maps?q=35.060155570444,-85.155728354858"
3260230,"July 8, 2025",Idaho,Burley,723 E 14th St,4,0,0,0,1,,42.535430635576,-113.784599272075,Match,"723 E 14TH ST, BURLEY, ID, 83318","42.535431, -113.784599","https://www.google.com/maps?q=42.535430635576,-113.784599272075"
3255423,"July 7, 2025",Ohio,Akron,700 E Exchange St,0,5,0,0,0,,41.071074683359,-81.497242171589,Match,"700 E EXCHANGE ST, AKRON, OH, 44306","41.071075, -81.497242","https://www.google.com/maps?q=41.071074683359,-81.497242171589"
3254794,"July 7, 2025",Pennsylvania,Philadelphia,N 62nd St and Vine St,0,4,0,0,0,,39.967065934747,-75.243746702782,Match,"N 62ND ST & VINE ST, PHILADELPHIA, PA, 19139","39.967066, -75.243747","https://www.google.com/maps?q=39.967065934747,-75.243746702782"
3255922,"July 7, 2025",California,Los Angeles,10305 Main St,0,4,0,0,0,,33.942757202409,-118.273943436552,Match,"10305 S MAIN ST, LOS ANGELES, CA, 90003","33.942757, -118.273943","https://www.google.com/maps?q=33.942757202409,-118.273943436552"
3254764,"July 7, 2025",Pennsylvania,Philadelphia,1500 block of S Etting St,3,9,0,0,3,,39.934466363809,-75.190044693567,Match,"1500 S ETTING ST, PHILADELPHIA, PA, 19146","39.934466, -75.190045","https://www.google.com/maps?q=39.934466363809,-75.190044693567"
3254338,"July 6, 2025",Louisiana,Natchitoches,300 block of Keyser Ave,1,5,0,0,2,,,,No_Match,,Coordinates not available,
3254122,"July 6, 2025",Ohio,Toledo,159 Matzinger Rd,2,2,0,0,0,,41.70415241491,-83.542371814876,Match,"159 MATZINGER RD, TOLEDO, OH, 43612","41.704152, -83.542372","https://www.google.com/maps?q=41.70415241491,-83.542371814876"
3253874,"July 5, 2025",Hawaii,Honolulu,Palamea Ln,0,4,0,0,0,,,,No_Match,,Coordinates not available,
3253521,"July 5, 2025",Texas,Dallas,S Good Latimer Expy and Canton St,1,4,0,1,1,,32.78156726202,-96.786473978137,Match,"S GOOD LATIMER ST & CANTON ST, DALLAS, TX, 75201","32.781567, -96.786474","https://www.google.com/maps?q=32.78156726202,-96.786473978137"
3253096,"July 5, 2025",New York,Albany,300 block of Livingston Ave,0,5,0,0,0,,42.663695117673,-73.758774716337,Match,"300 LIVINGSTON AVE, ALBANY, NY, 12206","42.663695, -73.758775","https://www.google.com/maps?q=42.663695117673,-73.758774716337"
3253594,"July 5, 2025",Texas,Lubbock,2902 Parkway Dr,0,5,1,0,0,,,,No_Match,,Coordinates not available,
3253722,"July 5, 2025",Missouri,Saint Louis,N 9th St and Chambers St,1,3,0,0,0,,38.646721854527,-90.188989312106,Match,"N 9TH ST & CHAMBERS ST, SAINT LOUIS, MO, 63102","38.646722, -90.188989","https://www.google.com/maps?q=38.646721854527,-90.188989312106"
3254389,"July 5, 2025",Alabama,Talladega,1509 Old Shocco Rd,4,0,0,0,1,,33.437417666562,-86.151903486523,Match,"1509 OLD SHOCCO RD, TALLADEGA, AL, 35160","33.437418, -86.151903","https://www.google.com/maps?q=33.437417666562,-86.151903486523"
3253940,"July 5, 2025",California,San Francisco,100 block of Harbor Rd,1,4,0,0,0,,37.733391120942,-122.380254436217,Match,"100 HARBOR RD, SAN FRANCISCO, CA, 94124","37.733391, -122.380254","https://www.google.com/maps?q=37.733391120942,-122.380254436217"
3254494,"July 5, 2025",Washington,Sedro Woolley,697 Pacific St,1,5,0,0,0,,48.504391276524,-122.231192354871,Match,"697 PACIFIC ST, SEDRO WOOLLEY, WA, 98284","48.504391, -122.231192","https://www.google.com/maps?q=48.504391276524,-122.231192354871"
3253085,"July 5, 2025",Massachusetts,Brockton,May St,0,6,0,0,0,,,,No_Match,,Coordinates not available,
3253102,"July 5, 2025",Pennsylvania,Philadelphia,1136 S 11th St,0,8,0,0,1,,39.936171760478,-75.161686546113,Match,"1136 S 11TH ST, PHILADELPHIA, PA, 19147","39.936172, -75.161687","https://www.google.com/maps?q=39.936171760478,-75.161686546113"
3253021,"July 5, 2025",Illinois,Chicago,2700 block of S California Blvd,0,4,0,0,0,,,,No_Match,,Coordinates not available,
3253050,"July 5, 2025",Indiana,Indianapolis,W Washington St and S Illinois St,2,5,0,0,4,,39.767122444035,-86.159892875597,Match,"W WASHINGTON ST & S ILLINOIS ST, INDIANAPOLIS, IN, 46204","39.767122, -86.159893","https://www.google.com/maps?q=39.767122444035,-86.159892875597"
3253569,"July 5, 2025",Ohio,Cleveland,11501 Buckeye Rd,1,5,0,0,0,,41.481210655563,-81.604355320165,Match,"11501 BUCKEYE RD, CLEVELAND, OH, 44104","41.481211, -81.604355","https://www.google.com/maps?q=41.481210655563,-81.604355320165"
3253812,"July 4, 2025",California,Los Angeles,626 W 99th St,0,4,0,0,0,,33.946378487188,-118.285355994051,Match,"626 W 99TH ST, LOS ANGELES, CA, 90044","33.946378, -118.285356","https://www.google.com/maps?q=33.946378487188,-118.285355994051"
3253257,"July 4, 2025",New York,Albany,333 Madison Ave,1,3,0,0,3,,42.65062245192,-73.764319562758,Match,"333 MADISON AVE, ALBANY, NY, 12210","42.650622, -73.764320","https://www.google.com/maps?q=42.65062245192,-73.764319562758"
